name,verdict,board,exactness,est_instances,priority,detection_sound,example,detection
combo-marginal-vs-standalone,ONE-DIRECTIONAL,economics-commodities,exact,20,high,True,KXCPICOMBO-26JULB-0102|KXCPI-26JUL-T0.0|KXCPICORE-26JUL-T0.2,"Series ending in COMBO, mutually_exclusive=True, yes_sub_title with two comma-separated 'Var: bin' clauses. Map each dimension to its standalone series for the same period suffix: KXCPICOMBO(Headline,Core)->KXCPI & KXCPICORE; KXEMPLOYMENTCOMBO(U3,NFP)->KXU3/KXECONSTATU3 & KXPAYROLLS; KXFEDCOMBO(Rate,Dissents)->KXFEDDECISION/KXFED & KXFOMCDISSENTCOUNT. Group combo legs by one dimension's bin label,"
matchup-outcome-split,ONE-DIRECTIONAL,elections-politics,exact,16,high,True,KXPRESMATCHUP-28NOV07-GNEWJVAN|KXPRESOUTCOME-28NOV07-GNEWJVAND|KXPRESOUTCOME-28NOV07-GNEWJVANR,"For a *MATCHUP event with leg suffix <S> (e.g. GNEWJVAN) there exist exactly two *OUTCOME legs in the sibling *OUTCOME event with suffix <S>+'D' and <S>+'R'. Scanner: strip trailing party letter from every OUTCOME suffix, group by residue, match to the MATCHUP suffix of the same event date. Equality: matchup price == sum of its two outcome legs."
extremum-envelops-point,NEEDS-RULE-CHECK,financials-crypto,needs-rule-check,12,medium,False,KXDJIA-26DEC31-53000|KXDJI-26AUG0316-53000.00|KX10Y2YDATE-26DEC31-...,"Find a max/min series ('How high/low will X get', KX*MAX*/KX*MIN*, KXDJIA/KXNIKKEI/KX10Y2Y running-window ladders) and a point-in-time series on the SAME underlying whose resolution instant lies inside the max/min window and whose rules_primary quotes the same index. Enumerate shared strike levels (round numbers where a fine point-ladder grid intersects the coarse extremum grid)."
quarter-in-fiscalyear-flow,ONE-DIRECTIONAL,financials-crypto,soft(one-directional-only),12,low,False,KXRIVN (Q3 vehicles delivered) / KXRIVNA (2026 vehicles delivered)|KXDASH (Q3 total orders) / KXDASHA (fiscal 2026 total orders)|KXTLN (Q2 TWh generation) / KXTLNA (fiscal 2026 TWh),"Match series X (quarter event, title '... in Q<n> <year>') with series X+'A' (annual event, title '... in fiscal <year>/... in <year>'). GATE on metric type parsed from title: additive flow = {delivered/deliveries, passengers, trips, orders, production, shipments, bookings, gross merchandise volume, generation/TWh, hours streamed/engaged, units, berth-days}. EXCLUDE stock levels (headcount, custom"
hierarchical-winner,ONE-DIRECTIONAL,science-climate-companies,needs-rule-check,8,medium,True,KXTOPMODEL-26AUG31-CLAU5|KXLLM1-26AUG31-A|KXCHINAAI-26AUG31-ALIB,Pair a fine-grained 'top' partition with a coarser 'top' partition derived from the SAME ranking metric and timestamp: model-level KXTOPMODEL-<date>-<claudeModel> implies company-level KXLLM1-<date>-A (Anthropic); restricted-universe KXCHINAAI-<date>-<co> is won by KXLLM1-<date>-<co> whenever that Chinese company is top overall. Scanner matches on identical date suffix + entity->parent code map (A
spot-implies-cumulative,ONE-DIRECTIONAL,science-climate-companies,soft(one-directional-only),6,medium,False,KXWTI-26AUG0414-T77.49|KXWTIWHEN-100-26AUG31|KXH100W-26AUG07-2.76,"Pair a snapshot-threshold market ('above X on <D0>', rules say 'on') with a cumulative first-passage market on the same underlying ('above X on any market day before <D>', rules say 'any market day'/'before'), matched on identical strike X and D0 <= D. Commodities: KX<COM>D / KX<COM>DIRY (spot) vs KX<COM>WHEN (cumulative). Compute: KXH100W/KXH100MON (spot 'on date') vs KXH100MAX ('by Dec 31')."
count-mean-vs-component-indicators,ONE-DIRECTIONAL,economics-commodities,needs-rule-check,4,medium,False,KXFOMCDISSENTCOUNT-26SEP-1|KXFEDDISSENT-26SEP-KEVI|KXFEDDISSENT-26SEP-JOHN,"An 'Exactly k' integer mutex menu (KXFOMCDISSENTCOUNT, KXRATECUTCOUNT) paired with the set of individual indicator markets it counts for the same event: KXFOMCDISSENTCOUNT-<mtg> <-> the 12 KXFEDDISSENT-<mtg>-<MEMBER> legs; KXRATECUTCOUNT-26 <-> the 'Cut' legs of every 2026 KXFEDDECISION-<mtg> event. Detect by count-noun in title ('Number of', 'How many ... dissenting') plus a co-scoped family of b"
senate-seatcount-control,ONE-DIRECTIONAL,elections-politics,needs-rule-check,4,low,False,KXDSENATESEATS-29-E51|CONTROLS-2028-D|KXDSENATESEATS-27-51,KXDSENATESEATS-<yy>-<E51|E50...> count buckets vs CONTROLS-20<yy>-D. The >=51 leg (and 'Above' legs) imply CONTROLS-D; the <=49 legs imply CONTROLS-R. Match by cycle.
mention-subphrase,ONE-DIRECTIONAL,entertainment-mentions,soft(one-directional-only),3,low,True,KXEARNINGSMENTIONSNAP-...-Memories Storage|KXEARNINGSMENTIONSNAP-...-Storage|KXMRBEASTMENTION-...-Beast Games,"Within a single KXEARNINGSMENTION<TICKER>-<date> / KX<...>MENTION event (mutually_exclusive=False, all custom strikes), find leg pairs where one yes_sub_title is a whole-word substring of another (e.g. 'Storage' inside 'Memories Storage'). The longer-phrase market implies the shorter-phrase market IF the shorter market counts any occurrence including within the longer phrase."
removal-implies-impeachment,ONE-DIRECTIONAL,elections-politics,exact,3,medium,False,KXTRUMPREMOVE|KXIMPEACH-29-JAN20|KXAMEND25-29,Pair a 'impeached and removed'/'convicted' series with the matching 'impeached' series for the same subject and horizon. KXTRUMPREMOVE (impeach+convict before Jan20 2029) => KXIMPEACH-29-JAN20 (impeach before Jan20 2029). Match by subject phrase ('President of the United States') + close/expiration horizon. Generalizes to 25th-Amendment/resign => leaves-office where an aggregate departure market e
subperiod-count-nesting,ONE-DIRECTIONAL,science-climate-companies,soft(one-directional-only),1,low,False,KXSPACEXCOUNT-26AUG-10|KXSPACEXCOUNT-26B-120|KXSPACEXCOUNT-26AUG-15,"Same count series with two events whose windows nest (month inside year): KXSPACEXCOUNT-26AUG (Aug 2026) inside KXSPACEXCOUNT-26B (full 2026). Scanner: same series, rules windows where one date-range is a subset of the other, pair legs on identical strike N."
